PETs1,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
85,0.751,0.649083,98.3146,97.191,40.4321,71.6049
95,0.745,0.484626,96.2506,95.8559,65.4899,80.2594
105,0.662,0.377712,91.674,91.054,74.0519,82.3353
115,0.634,0.30766,93.0137,93.0137,82.6196,82.8715
125,0.824,0.328275,89.6272,89.6272,78.0451,80.3008
135,0.887,0.483102,96.3006,95.6069,64.1892,78.5473
145,0.77,0.558232,96.7391,96.0474,65.8031,78.7565
155,0.754,0.443622,94.9045,94.6921,73.3198,80.8554
165,0.674,0.391485,93.8378,93.2973,69.0015,74.0686
175,0.689,0.397271,93.6877,93.3555,70.3377,75.7709
185,0.712,0.147542,82.381,83.3333,73.8574,57.7697
195,0.719,0.0423129,61.1111,64.8148,70.6796,34.3689
205,0.655,0.0391442,54.8387,54.8387,70.8333,42.6136
215,0.545,0.105035,48.913,50,70.3166,49.2084
225,0.674,0.20744,86.25,86.5625,63.7487,54.6859
235,0.715,0.337354,95.037,94.9314,73.5849,75.5503
245,0.754,0.492393,97.561,97.1458,65.1096,77.624
255,0.759,0.627669,99.0716,98.6822,65.9314,85.6863
265,0.779,0.687616,99.2512,97.6628,62.6719,85.8939
275,0.724,0.655212,98.8365,97.5761,66.711,89.0957
285,0.773,0.733917,99.4827,98.3026,68.1431,90.2896
295,0.805,0.709282,99.0119,96.6984,62.855,85.6879
aton_campus,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
41,0.636,0.434367,100,100,2.139,17.9144
51,0.662,0.469132,99.9291,99.5272,11.5192,33.9065
61,0.683,0.495272,99.9034,95.9259,31.9713,59.868
71,0.642,0.454936,99.0625,93.3413,32.0908,54.5861
81,0.685,0.444833,96.8359,91.9249,29.5123,46.1152
91,0.649,0.466827,98.3946,94.7157,36.9529,51.9231
101,0.467,0.522102,100,93.3692,44.0171,55.6058
111,0.772,0.552027,97.0534,97.0534,58.1594,67.0103
121,0.542,0.514771,97.4386,91.1419,38.9846,55.8306
131,0.754,0.448236,96.8276,92.6897,32.298,46.3734
141,0.724,0.426879,90.6977,90.6977,52.2929,70.858
151,0.766,0.301711,72.8814,72.8814,38.3412,38.5308
271,0.852,0.671848,100,100,49.2236,78.5714
281,0.851,0.656997,100,100,40.597,73.8308
291,0.798,0.659748,100,100,39.1304,70.5828
301,0.791,0.616497,99.4709,99.4709,44.2506,72.7201
311,0.806,0.572523,100,100,41.1673,64.0467
321,0.84,0.649439,100,100,40.3864,73.5051
331,0.826,0.612811,100,100,28.903,64.346
341,0.748,0.53507,99.3392,99.3392,21.3919,53.3942
351,0.777,0.559359,99.3342,98.8016,16.0519,57.8182
361,0.743,0.521477,99.729,99.729,18.6912,47.6871
371,0.779,0.508699,95.6188,95.6188,13.4861,44.0589
381,0.793,0.545052,99.3644,99.3644,20.6265,69.3247
391,0.753,0.534082,92.4701,92.3997,21.9302,64.9692
401,0.692,0.541953,94.5976,94.4851,22.5201,73.4201
411,0.769,0.541069,92.452,92.452,23.6516,75
421,0.759,0.450694,92.1158,92.1158,25.9178,61.674
1061,0.711,0.515943,100,100,14.4099,40.6211
1071,0.789,0.636891,100,100,15.9018,50.4803
1081,0.748,0.583271,100,100,28.5558,49.2341
1091,0.798,0.628366,98.2456,98.2456,24.4784,48.1224
1101,0.848,0.65963,100,100,10.1961,46.6667
1111,0.784,0.586309,96.2025,95.5696,12.0468,52.6316
1121,0.79,0.631131,98.75,98.75,17.64,56.7342
1131,0.858,0.616672,97.9167,97.9167,18.595,58.6777
1141,0.85,0.63811,98.3871,98.3871,15.9574,63.2388
1151,0.883,0.700727,99.4723,99.4723,6.2691,57.9511
aton_hallway,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
25,0.627,0.459744,91.8856,91.4769,64.1346,74.6609
151,0.712,0.434228,99.6218,99.5083,69.3347,78.6133
164,0.81,0.538867,97.5408,97.4856,55.5124,71.1619
175,0.516,0.391069,87.1708,82.9169,63.6149,67.8378
194,0.758,0.586353,99.3337,99.2945,76.1484,83.7938
251,0.833,0.664601,82.2111,81.3065,81.7981,86.5144
275,0.747,0.690587,98.7539,97.5078,78.8321,88.0779
431,0.702,0.471719,99.407,99.2453,59.2399,67.6975
451,0.769,0.54227,99.3588,99.2145,80.6987,86.1682
600,0.666,0.379226,63.4615,63.4615,73.7265,75.067
621,0.707,0.478939,99.6299,98.9309,48.4927,60.5728
1101,0.743,0.48757,98.4813,98.4343,83.9228,89.4248
1151,0.731,0.554371,99.572,99.0661,83.2968,87.2946
aton_lab,,,,,,
frame,coneR1*,coneR1',Original Detection,Adaptive Detection,Original Discrimination,Adaptive Discrimination
91,0.84,0.747661,98.2784,96.1688,44.6844,64.6179
101,0.908,0.729663,97.5334,97.5107,39.4961,63.1496
151,0.667,0.573093,95.804,95.4925,82.9254,93.3515
161,0.626,0.540102,93.4618,93.1693,80.3861,89.7572
221,0.892,0.509917,87.9733,87.9733,66.7318,70.371
231,0.76,0.771263,95.973,94.2403,61.1534,81.9075
281,0.724,0.629486,94.8925,94.1761,79.6353,90.1867
291,0.695,0.555757,97.0733,97.0551,77.8626,92.2074
301,0.656,0.561814,88.5236,88.3742,85.6973,96.1859
471,0.611,0.129561,78.898,90.1524,83.0598,58.7802
481,0.746,0.615002,97.2113,96.9035,76.6697,86.9145
561,0.755,0.670057,97.4796,96.0158,60.1613,74.2868
681,0.656,0.589291,95.7642,94.3217,62.9807,75.444
881,0.664,0.350949,82.1207,82.1207,83.7588,85.0625
